ZIPCODE,ADDRESS,STATUS
46235,4108 BRENTWOOD DR,Abandoned
46226,4135 N EDMONDSON AVE,Abandoned
46205,3811 N TACOMA AVE,Vacant
46254,4002 N HIGH SCHOOL RD,Abandoned
46226,4102 N RIDGEVIEW DR,Abandoned
46235,4029 ESSEX CT,Vacant
46226,3855 N EMERSON AVE,Abandoned
46226,4020 ENGLEWOOD DR,Vacant
46235,4047 ESSEX CT,Abandoned
46208,630 W 41ST ST,Abandoned
46208,330 BERNARD AVE,Abandoned
46205,3922 CAROLINE AVE,Vacant
46208,417 HARVARD PL,Abandoned
46205,1819 MILLERSVILLE DR,Abandoned
46208,3824 ROOKWOOD AVE,Abandoned
46205,2002 MILLERSVILLE DR,Vacant
46208,610 W 40TH ST,Abandoned
46235,9432 CONRIED DR,Abandoned
46208,3843 CLARENDON RD,Abandoned
46208,411 W 39TH ST,Abandoned
46208,3861 CLARENDON RD,Abandoned
46226,3840 N GRAHAM AVE,Abandoned
46226,4037 KENNETH AVE,Abandoned
46226,3959 ENGLEWOOD DR,Vacant
46235,4021 ESSEX CT,Vacant
46226,3937 N BUTLER AVE,Abandoned
46205,4004 MEADOWS DR,Vacant
46205,4506 HILLSIDE AVE,Abandoned
46205,1901 E 46TH ST,Vacant
46205,4439 NORWALDO AVE,Vacant
46205,4316 CRITTENDEN AVE,Vacant
46228,4880 VICTORIA RD,Vacant
46226,4201 N ARLINGTON AVE,Abandoned
46235,10122 MEADOWLARK DR,Abandoned
46205,4526 CAROLINE ST,Abandoned
46205,4237 RALSTON AVE,Abandoned
46205,4239 RALSTON AVE,Abandoned
46228,5754 COBURN AVE,Abandoned
46228,6117 BETTCHER AVE,Abandoned
46228,1648 W 58TH ST,Abandoned
46228,5931 CROOKED CREEK DR,Abandoned
46220,7105 RALSTON AVE,Abandoned
46220,7120 RALSTON AVE,Abandoned
46240,1737 E 72ND ST,Vacant
46240,1731 RUTH DR,Vacant
46240,1544 E 74TH ST,Abandoned
46208,2250 N KENWOOD AVE,Abandoned
46222,1833 W WASHINGTON ST,Abandoned
46201,3217 BROOKSIDE PKWY SDR,Abandoned
46208,1258 W 32ND ST,Abandoned
46201,322 S TEMPLE AVE,Abandoned
46225,231 WISCONSIN ST,Abandoned
46201,3109 E NEW YORK ST,Abandoned
46202,1907 DEXTER ST,Abandoned
46208,1050 W 29TH ST,Abandoned
46203,1258 E NAOMI ST,Abandoned
46203,1737 LAUREL ST,Abandoned
46183,7744 S MOORESVILLE RD,Abandoned
46221,1538 SHEPARD ST,Vacant
46201,3107 E NEW YORK ST,Abandoned
46203,1334 E NAOMI ST,Abandoned
46226,3855 N POST RD,Abandoned
46201,2422 ENGLISH AVE,Abandoned
46208,1054 W 35TH ST,Abandoned
46218,3710 HILLSIDE AVE,Abandoned
46201,253 N OXFORD ST,Abandoned
46201,1353 N EWING ST,Abandoned
46218,1949 N LASALLE ST,Abandoned
46218,2914 N GLADSTONE AVE,Abandoned
46218,4030 E 30TH ST,Abandoned
46208,1054 W 27TH ST,Abandoned
46218,3209 HOVEY ST,Abandoned
46218,3274 RALSTON AVE,Abandoned
46203,1531 RINGGOLD AVE,Abandoned
46203,1533 RINGGOLD AVE,Abandoned
46218,3611 E 32ND ST,Vacant
46218,3444 E 26TH ST,Vacant
46218,3271 RALSTON AVE,Abandoned
46218,3252 RALSTON AVE,Abandoned
46218,3261 RALSTON AVE,Abandoned
46221,627 WARREN AVE,Abandoned
46218,3256 ORCHARD AVE,Abandoned
46203,1914 CALVIN ST,Abandoned
46218,2857 N OLNEY ST,Abandoned
46218,2912 N OLNEY ST,Abandoned
46218,2939 N OLNEY ST,Abandoned
46218,2946 N OLNEY ST,Abandoned
46218,2305 SHELDON ST,Abandoned
46225,14 E REGENT ST,Abandoned
46201,1018 N LASALLE ST,Abandoned
46201,922 N OAKLAND AVE,Abandoned
46201,839 N OAKLAND AVE,Abandoned
46201,618 N OXFORD ST,Abandoned
46201,326 N TACOMA AVE,Abandoned
46225,1424 S NEW JERSEY ST,Vacant
46208,1138 W 33RD ST,Abandoned
46203,1831 NEW ST,Abandoned
46203,1527 VILLA AVE,Abandoned
46201,634 N EUCLID AVE,Vacant
46201,720 N COLORADO AVE,Abandoned
46208,1150 W 33RD ST,Abandoned
46208,1430 W 31ST ST,Abandoned
46208,962 W 33RD ST,Abandoned
46208,946 W 34TH ST,Abandoned
46208,946 W 33RD ST,Abandoned
46221,836 RIVER AVE,Abandoned
46221,815 RIVER AVE,Abandoned
46221,1737 MILLER ST,Vacant
46221,1417 HIATT ST,Abandoned
46201,958 N BOSART AVE,Abandoned
46201,626 N EUCLID AVE,Abandoned
46201,806 N COLORADO AVE,Abandoned
46201,618 N EUCLID AVE,Abandoned
46218,2857 N GALE ST,Abandoned
46218,2865 N GALE ST,Abandoned
46218,2950 N GALE ST,Abandoned
46203,1839 APPLEGATE ST,Vacant
46203,1814 ORLEANS ST,Vacant
46221,801 WARREN AVE,Abandoned
46218,3117 N ARSENAL AVE,Abandoned
46221,1321 S BELMONT AVE,Vacant
46201,510 N BOSART AVE,Vacant
46201,524 N COLORADO AVE,Abandoned
46218,2828 N GALE ST,Abandoned
46218,3837 E 31ST ST,Abandoned
46218,4021 E 31ST ST,Abandoned
46218,3126 FOREST MANOR AVE,Abandoned
46203,503 E SOUTHERN AVE,Abandoned
46203,1231 MADEIRA ST,Abandoned
46201,4846 WENTWORTH BLVD,Abandoned
46205,3101 GUILFORD AVE,Abandoned
46205,3022 GUILFORD AVE,Abandoned
46203,938 E MINNESOTA ST,Vacant
46201,735 N COLORADO AVE,Abandoned
46201,1013 N GLADSTONE AVE,Abandoned
46218,3024 HOVEY ST,Abandoned
46218,3008 HOVEY ST,Abandoned
46205,3039 SUTHERLAND AVE,Abandoned
46205,3259 WINTHROP AVE,Vacant
46201,832 N DREXEL AVE,Abandoned
46201,837 N DREXEL AVE,Abandoned
46221,1433 KAPPES ST,Vacant
46221,1413 KAPPES ST,Abandoned
46221,1456 KAPPES ST,Abandoned
46203,1321 LAWTON AVE,Abandoned
46201,1420 N DENNY ST,Vacant
46201,59 N KEYSTONE AVE,Abandoned
46222,761 LYNN ST,Abandoned
46201,3029 MEREDITH AVE,Abandoned
46218,1906 N PARKER AVE,Abandoned
46201,921 N DREXEL AVE,Abandoned
46201,730 N LINWOOD AVE,Vacant
46205,3221 SUTHERLAND AVE,Abandoned
46218,2409 BROOKSIDE AVE,Vacant
46208,2320 N HARDING ST,Abandoned
46203,2010 BOYD AVE,Abandoned
46205,3044 GUILFORD AVE,Abandoned
46240,2620 E 78TH ST,Abandoned
46201,2826 E NEW YORK ST,Abandoned
46201,609 N GLADSTONE AVE,Abandoned
46201,737 N LINWOOD AVE,Abandoned
46201,722 N LINWOOD AVE,Abandoned
46201,861 N DREXEL AVE,Abandoned
46203,4015 HICKORY KNOLL DR,Abandoned
46235,3902 N MITTHOEFER RD,Abandoned
46201,423 S DEARBORN ST,Vacant
46222,1923 W OHIO ST,Vacant
46218,2414 BROOKSIDE AVE,Abandoned
46201,23 WOODLAND DR,Abandoned
46201,907 N GLADSTONE AVE,Abandoned
46201,902 N GLADSTONE AVE,Abandoned
46201,870 N GLADSTONE AVE,Abandoned
46201,871 N GLADSTONE AVE,Abandoned
46201,834 N GLADSTONE AVE,Abandoned
46205,3284 GUILFORD AVE,Vacant
46278,5806 W 62ND ST,Abandoned
46205,3226 WINTHROP AVE,Abandoned
46205,3115 WINTHROP AVE,Vacant
46205,3224 WINTHROP AVE,Abandoned
46205,3236 WINTHROP AVE,Abandoned
